site,watershed,date,latitude,longitude,ph_sonde,ph_lab,temp_deg_c_sonde,temp_lab_deg_c,spc_u_scm_sonde,conductivity_lab_u_scm,alkalinity_mg_ca_co3l,aluminum_dis_ug_l,aluminum_org_ug_l,ali_ug_l,antimony_dis_ug_l,arsenic_dis_ug_l,barium_dis_ug_l,bromide_ug_l,cadmium_dis_ug_l,calcium_dis_mg_l,cerium_dis_ug_l,chloride_mg_l,chromium_dis_ug_l,cobalt_dis_ug_l,copper_dis_ug_l,fluoride_ug_l,hardness_mg_ca_co3l,iron_dis_ug_l,lead_dis_ug_l,lithium_dis_ug_l,magnesium_dis_mg_l,manganese_dis_ug_l,nickel_dis_ug_l,nitrate_ug_l,nitrite_ug_l,phosphate_ug_l,phosphorus_dis_ug_l,potassium_dis_mg_l,selenium_dis_ug_l,silver_dis_ug_l,sodium_dis_mg_l,sulfate_mg_l,tds_mg_l,titanium_dis_ug_l,uranium_dis_ug_l,vanadium_dis_ug_l,zinc_dis_ug_l,avg_dic_mg_l,avg_doc_mg_l,avg_turbidity_ntu,avg_colour_colour_units,cens_ph_sonde,cens_ph_lab,cens_temp_deg_c_sonde,cens_temp_lab_deg_c,cens_spc_u_scm_sonde,cens_conductivity_lab_u_scm,cens_alkalinity_mg_ca_co3l,cens_aluminum_dis_ug_l,cens_aluminum_org_ug_l,cens_ali_ug_l,cens_antimony_dis_ug_l,cens_arsenic_dis_ug_l,cens_barium_dis_ug_l,cens_bromide_ug_l,cens_cadmium_dis_ug_l,cens_calcium_dis_mg_l,cens_cerium_dis_ug_l,cens_chloride_mg_l,cens_chromium_dis_ug_l,cens_cobalt_dis_ug_l,cens_copper_dis_ug_l,cens_fluoride_ug_l,cens_hardness_mg_ca_co3l,cens_iron_dis_ug_l,cens_lead_dis_ug_l,cens_lithium_dis_ug_l,cens_magnesium_dis_mg_l,cens_manganese_dis_ug_l,cens_nickel_dis_ug_l,cens_nitrate_ug_l,cens_nitrite_ug_l,cens_phosphate_ug_l,cens_phosphorus_dis_ug_l,cens_potassium_dis_mg_l,cens_selenium_dis_ug_l,cens_silver_dis_ug_l,cens_sodium_dis_mg_l,cens_sulfate_mg_l,cens_tds_mg_l,cens_titanium_dis_ug_l,cens_uranium_dis_ug_l,cens_vanadium_dis_ug_l,cens_zinc_dis_ug_l,cens_avg_dic_mg_l,cens_avg_doc_mg_l,cens_avg_turbidity_ntu,cens_avg_colour_colour_units,yday
CST,Medway,2022-08-24,44.25369,-64.85015,6.24,6.852,18.7,20.078,32.3,5.5648,NA,35.48483034,32.79256029,2.6922700500000047,2,0.4,1.468960792,18.3025,0.4,1.814826051,0.4,4.0683,0.4,0.4,0.7,19.9609,NA,112.0995262,0.4,0.61206476,0.756938469,8.936053689,0.4,64.7111,13.1525,15.8755,10,0.240387171,1,0.4,3.5903686,1.5067,3.709829568,0.5,0.4,0.4,1.08464562,2.4055,2.9825,1.25,15.14,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,none,none,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.6465753424657534
CST,Medway,2022-10-12,44.25369,-64.85015,4.53,5.0338,9.1,19.4512,45.4,-10.0752,-0.1597,263.8694231,263.3885925,0.4808305999999902,2,0.557723992,4.897529496,15.9522,0.4,2.289397661,0.636887556,4.6962,0.4,0.655867987,0.7,22.5869,NA,555.61285,0.424469912,0.965670754,1.185161628,173.0058378,1.047363618,19.7804,12.6928,116.4945,29.8946474,0.242080307,1,0.4,4.356823893,4.8586,-6.716732832,1.3530116,0.4,0.4,6.047211588,1.4725,16.35,0.3685,77.181,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7808219178082192
CST,Medway,2022-10-25,44.25369,-64.85015,4.65,5.841,12.1,20.632,34.1,18.3474,2.318,216.8985993,211.0196557,5.878943600000014,2,0.482724219,3.425059017,16.5369,0.4,1.53974832,0.501448089,4.3361,0.4,0.407422258,0.723174631,28.1581,NA,361.126749,1.561033993,1.268001008,0.753877055,72.70773825,0.852087613,20.8298,20.3299,188.8413,16.81763564,0.164976752,1,0.4,3.603984006,2.0411,12.23147768,0.981348404,0.4,0.4,5.758092712,1.9115,12.44,0.1995,71.109,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8164383561643835
CST,Medway,2022-11-07,44.25369,-64.85015,4.94,5.9356,13.5,14.5376,28.4,12.6193,1.2315,138.5017613,120.7235781,17.7781832,2,0.4,2.367779477,18.3697,0.4,1.201866667,0.4,4.1259,0.4,0.4,0.7,25.878,NA,279.233284,0.4,0.867427103,0.507072878,29.06536641,0.494874419,35.835,12.951,204.7,10,0.120645707,1,0.4,3.378943748,1.6186,8.412782538,0.789212855,0.4,0.4,2.109091219,1.1206,7.343,0.34,52.1735,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,none,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.852054794520548
D-WC-B,Medway,2022-07-28,44.25009,-64.84636,5.85,6.5524,16.5,16.8484,48.3,11.6355,5.28,93.7006052,72.4458771,21.254728099999994,2,6.884411094,1.636629892,22.5908,0.4,1.8349286,0.646948892,5.7103,0.4,0.801576553,0.897585783,36.0423,NA,603.2921888,0.4,1.083021548,0.76418919,141.1208237,0.574946302,146.9441,16.4603,16.9498,32.01377065,0.244652334,1,0.4,5.578006772,1.712,7.75692243,0.893498782,0.4,0.4,9.668116754,3.492,4.344,2.835,41.39,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,left,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.5726027397260274
D-WC-B,Medway,2022-08-11,44.25009,-64.84636,5.74,6.5969,17.1,20.7243,39.8,-0.3913,6.429,61.10132242,47.36011136,13.741211060000005,2,5.29149288,1.246847619,19.4653,0.4,1.953808449,0.511199466,4.1066,0.4,0.517346176,0.7,30.2526,NA,381.8986842,0.4,0.843336771,0.852818544,92.41309069,0.405049966,132.4934,9,10,14.26712624,0.217195774,1,0.4,4.209227678,1.5666,-0.260864058,0.62500359,0.4,0.4,2.779433229,3.5085,3.2045,1.22,19.63,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,left,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.6109589041095891
D-WC-B,Medway,2022-08-24,44.25009,-64.84636,5.84,6.7313,15.2,19.4986,55.1,7.6193,NA,54.36498757,46.5475196,7.817467969999996,2,4.221256465,1.108341012,15.2773,0.4,1.954210482,0.4,3.9848,0.4,0.4,0.898675181,33.3672,NA,241.5697422,0.4,1.037985702,0.843140157,32.12275666,0.466441191,81.8566,15.6696,13.6158,11.95462015,0.334129588,1,0.4,3.760726504,1.6593,5.079482538,0.5,0.4,0.4,2.978065308,2.9125,3.195,0.837,17.424,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,none,none,none,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.6465753424657534
F1AR,Annapolis,2021-04-27,44.960544,-64.930716,6.53,6.4846,7.3,15.3,39.5,45.5,5.921,163.0573759,155.7748984,7.282477499999999,2,0.504640616,4.651487109,9,0.4,2.439271277,0.4,6.0672,0.4,0.4,1.254690372,29.3741,9.568222721,157.419666,0.4,0.853523966,0.844429903,10.67983176,0.4,701.6,9,10,13.44695721,0.627070039,1,0.4,5.725623243,1.5697,30.3,1.342439487,0.4,0.4,4.053646925,NA,6.3935,1.09,76.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,left,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.32054794520547947
F1AR,Annapolis,2021-05-18,44.960544,-64.930716,5.5,6.3132,14.9,16.2,35.3,40.8,5.787,182.2580788,147.9523537,34.30572509999999,2,0.527567585,4.582151504,9,0.4,2.06753765,0.4,5.2804,0.4,0.4,2.999034117,38.8294,7.922047796,164.4888796,0.4,1.33540591,0.67008409,15.3350687,0.4,465.4,9,871,14.28990166,0.473455769,1,0.4,4.662161614,1.2601,27.199728,1.338371688,0.4,0.4,17.22831486,NA,7.095,0.5715,88.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,left,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3780821917808219
F8AR,Annapolis,2021-04-08,44.915803,-64.838107,5.2,5.5968,9.1,17,22.9,25.3,3.396,88.035,87.442,0.5930000000000035,2,0.4,3.174,9,0.4,0.993,0.4,3.8696,0.4,0.4,0.7,25.8266,4.093777,59.553,0.4,0.58,0.392,3.179,0.4,30.0039,9,10,10,0.258,1,0.4,2.783,1.0806,16.86498,0.526,0.4,0.4,4.296,NA,4.519,0.396,41,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.2684931506849315
F8AR,Annapolis,2021-04-27,44.915803,-64.838107,6.36,6.1135,7.8,16,25,27.9,3.355,137.7928565,119.4524722,18.340384299999997,2,0.4,3.773796347,9,0.4,1.245714868,0.4,3.9613,0.4,0.4,0.813233768,28.5617,5.11621018,95.51935193,0.4,0.684615826,0.487047148,8.538097413,0.4,37.876,9,10,10,0.319024346,1,0.4,3.578524367,0.8663,18.6,0.948508727,0.4,0.4,3.64753086,NA,5.152,0.4,55,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.32054794520547947
KB,WRSH,2016-04-29,45.0284,-62.7153,5.55,6.26,8.2,NA,26.5,NA,NA,149,135,14,2,0.4,10.9,9,0.4,1.11,NA,3.4831912000000003,0.4,0.4,NA,8.4276,NA,7,0.4,NA,0.513,21.8,0.4,10,9,10,10,0.249,1,0.4,3.09,1.0606099999999998,NA,0.5,0.4,0.4,0.6,NA,5.73,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,left,left,none,none,none,left,left,left,left,left,none,left,left,none,none,none,left,left,left,left,none,none,none,none,0.32786885245901637
KB,WRSH,2016-06-03,45.0284,-62.7153,4.2,5.58,14.1,NA,21.6,NA,NA,267,247,20,2,0.4,2.65,9,0.4,0.459,NA,2.1317739000000002,0.4,0.4,NA,9.0942,NA,486,0.4,NA,0.275,29.1,0.4,30.9243,9.7041,10,10,0.229,1,0.4,2,0.61102,NA,2.66,0.4,0.4,0.6,NA,9.85,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,left,none,none,left,left,none,left,left,none,none,none,none,left,left,left,none,none,none,none,0.42349726775956287
KB,WRSH,2016-06-16,45.0284,-62.7153,4.22,5.84,12.3,NA,22,NA,NA,310,272,38,2,0.4,2.95,9,0.4,0.515,NA,2.6651401,0.4,0.4,NA,11.2632,NA,581,0.4,NA,0.324,30.3,0.4,10,9,10,10,0.172,1,0.4,2.09,0.8518796,NA,2.98,0.4,0.4,0.6,NA,11.3,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,left,left,left,left,left,none,left,left,none,none,none,none,left,left,left,none,none,none,none,0.45901639344262296
KRC,WRSH,2020-10-22,45.06485,-62.70628,4.35,4.66,13.4,11.6,34.4,35.94,-2.3582,381,300.7,80.30000000000001,2,1.701,5.909,9,0.4,1.182,0.999,4.2412,0.4,0.528,1.082,11.5536,5.3238338,687,0.707,0.616,0.5761000000000001,65.66,0.747,20.4367,9,10,10,0.3807,1,0.4,NA,1.0175,31.24,2.833,0.4,0.414,5.121,NA,18.369999999999997,0.7415,198,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.8087431693989071
KRC,WRSH,2020-10-23,45.06485,-62.70628,4.36,4.63,13.2,7.4,33.7,40.99,-2.3582,362.9,305.6,57.299999999999955,2,1.627,5.863,9,0.4,1.156,0.998,4.3366,0.4,0.519,0.7,13.1728,5.2144373999999996,660.2,0.499,0.585,0.5652999999999999,65.88,0.582,51.9407,9,10,10,0.3302,1,0.4,NA,1.0065,29.73,2.699,0.4,0.404,4.1,NA,18.03,0.8465,167,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.8114754098360656
KRC,WRSH,2020-10-26,45.06485,-62.70628,4.43,5.52,9.7,12.5,32.2,34.36,1.878,348,253.3,94.69999999999999,2,1.722,5.486,9,0.4,1.161,0.938,4.3191,0.4,0.509,0.7,10.9884,5.1964492,621.5,0.439,0.584,0.5579,65.7,0.604,74.7156,9,10,10,0.3418,1,0.4,NA,1.0662,28.49,2.583,0.4,0.4,3.744,NA,16.175,1.625,184,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.819672131147541
KRC,WRSH,2020-10-27,45.06485,-62.70628,NA,4.75,NA,11,NA,34.01,-2.3582,342.1,289.2,52.900000000000034,2,1.874,5.483,9,0.4,1.179,0.92,4.2782,0.4,0.519,1.191,11.3675,5.2689858,611.8,0.476,0.587,0.5646,69.04,0.77,104.6064,9,15.2826,10,0.399,1,0.4,NA,1.0719,28.26,2.544,0.4,0.4,6.12,NA,17.240000000000002,0.7495,176,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8224043715846995
KRC,WRSH,2020-10-28,45.06485,-62.70628,4.52,4.68,7.7,16.4,37.7,33.6,-2.3582,336.2,270.7,65.5,2,1.692,5.33,9,0.4,1.149,0.902,4.3516,0.4,0.52,0.916,12.6077,5.1664852,600.4,0.408,0.583,0.5579,65.93,0.603,28.8676,9,14.9071,10,0.35910000000000003,1,0.4,NA,1.0393,28.45,2.461,0.4,0.4,4.095,NA,16.7,0.7075,174.5,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.825136612021858
KRC,WRSH,2020-10-29,45.06485,-62.70628,4.35,4.77,7.1,9.2,31.9,34.98,-2.3582,329.2,271.3,57.89999999999998,2,1.685,5.301,9,0.4,1.153,0.887,4.3757,0.4,0.492,0.7,11.1059,5.1274690000000005,598.3,0.4,0.565,0.546,63.98,0.535,37.3424,9,10,10,0.3157,1,0.4,NA,1.064,28.58,2.408,0.4,0.4,4.048,NA,15.344999999999999,0.6799999999999999,168,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,left,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8278688524590164
KRC,WRSH,2020-10-30,45.06485,-62.70628,4.49,4.8,7,11.5,31.6,34.32,-2.3582,327,262.2,64.80000000000001,2,1.687,5.263,9,0.4,1.181,0.882,4.1369,0.4,0.482,0.953,10.3645,5.201503000000001,583.1,0.483,0.581,0.547,63.11,0.691,34.9798,9,10,10,0.38980000000000004,1,0.4,NA,0.9821,27.5,2.446,0.4,0.4,4.941,NA,16.119999999999997,0.7464999999999999,174,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8306010928961749
KRC,WRSH,2020-10-31,45.06485,-62.70628,4.49,4.84,5.7,14,31.3,32.87,-2.3582,317.2,272.5,44.69999999999999,2,1.816,5.063,9,0.4,1.286,0.843,4.6969,0.4,0.463,1.502,15.9751,5.485513399999999,563.8,0.406,0.575,0.5522999999999999,63.25,1.004,40.4659,9,10,10,0.5372,1,0.4,NA,1.1751,28.12,2.287,0.4,0.4,5.941,NA,16.87,1.23,166.5,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8333333333333334
KRC,WRSH,2020-11-01,45.06485,-62.70628,4.66,4.75,5.3,9.1,35.4,31.64,-2.3582,317.6,266,51.60000000000002,2,1.545,4.927,9,0.4,1.185,0.824,4.3101,0.4,0.465,0.7,9.6101,5.207784800000001,560.2,0.4,0.578,0.5461,62.31,0.536,38.9131,9,10,10,0.32080000000000003,1,0.4,NA,1.1071,27.04,2.27,0.4,0.4,3.718,NA,15.11,0.8194999999999999,165.5,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,left,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8360655737704918
KRC,WRSH,2020-11-03,45.06485,-62.70628,4.62,4.68,6.7,8.5,32,32.85,-2.3582,324.8,270.7,54.10000000000002,2,1.247,5.257,9,0.4,1.167,0.88,4.2459,0.4,0.447,0.7,11.4789,5.1455432000000005,527.8,0.413,0.568,0.5418999999999999,57.81,0.565,117.4834,9,10,10,0.3365,1,0.4,NA,1.0379,27.44,2.241,0.4,0.4,4.157,NA,15.44,0.9115,155,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8415300546448088
KRC,WRSH,2020-11-09,45.06485,-62.70628,4.56,4.58,8.1,11.6,33.2,34.2,-2.3582,337,289.4,47.60000000000002,2,1.376,5.316,9,0.4,1.127,0.931,4.3323,0.4,0.463,0.771,12.2858,5.0596644,609.9,0.487,0.579,0.5453,57.1,0.584,106.5957,9,10,10,0.3195,1,0.4,NA,1.0826,28.53,2.663,0.4,0.4,3.944,NA,17.555,4.705,175,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8579234972677595
KRC,WRSH,2020-11-16,45.06485,-62.70628,4.72,4.75,6.7,14.4,30.5,32.09,-2.3582,306.3,234.5,71.80000000000001,2,1.423,4.882,9,0.4,1.062,0.784,4.2846,0.4,0.401,1.308,13.1274,4.824059,501.3,0.402,0.582,0.5275,52.47,0.414,100.9975,9,10,10,0.2827,1,0.4,NA,1.1161,26.56,2.238,0.4,0.4,3.478,NA,15.05,1.1749999999999998,154,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8770491803278688
KRC,WRSH,2020-11-25,45.06485,-62.70628,4.62,4.85,3.2,10.8,32,37.96,-2.3582,342.6,299.4,43.200000000000045,2,0.871,5.384,9,0.4,1.065,0.897,4.153,0.4,0.419,0.728,12.5076,4.9398534,518.9,0.486,0.548,0.5538,51.57,0.427,166.8107,9,10,10,0.3025,1,0.4,NA,1.0968,28.14,2.673,0.4,0.4,3.446,NA,15.54,1.145,155.5,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.9016393442622951
KRC,WRSH,2020-12-04,45.06485,-62.70628,3.7,4.58,6.4,9.6,31.9,33.85,-2.3582,308.2,285.1,23.099999999999966,2,0.993,4.711,9,0.4,0.9892000000000001,0.791,4.0786,0.4,0.4,0.7,12.0875,4.5162666,503.4,0.54,0.587,0.49689999999999995,45.86,0.472,104.8781,9,10,10,0.2699,1,0.4,NA,1.1641,26.52,2.378,0.4,0.4,4.652,NA,13.49,0.8125,151,none,none,none,none,none,none,left,none,none,none,left,none,none,left,left,none,none,none,left,left,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.9262295081967213
KRC,WRSH,2021-08-12,45.06485,-62.70628,4.29,3.2301,22.1,17.4,26.6,26.6,3.755,468.54723945993663,380.96440717611176,87.58283228382487,2,3.841722865577159,5.377423885421807,12.1009,0.4,1.1903052214266525,1.2965006381031137,2.2412,0.4421394520310858,0.6416362090405793,0.9671802308864863,13.4442,5.187447228122747,1163.622259526128,1.9088883322544885,3.3378034882554037,0.5379444123896074,62.41354140948208,0.9565467288994535,48.3584,9,10,19.385150803429184,0.2221351073868263,1,0.4,2.759172063748353,0.5807,17.733156,3.607150562446069,0.4,0.43521578656481047,45.787851007273,NA,23.68,1.4100000000000001,298.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.6136986301369863
KRC,WRSH,2021-08-18,45.06485,-62.70628,4.74,3.9914,25.5,19,25.1,26.4,2.988,421.67367746463464,345.5220704355062,76.15160702912846,2,5.569444913362449,4.799511466321414,17.1421,0.4,1.1912861601727538,1.1600238888808514,2.443,0.4,0.6304641705128797,0.7,10.5895,5.073510089854608,1007.407669488672,0.6815243515422841,0.88090813336012,0.5096815317880646,67.5043650884646,0.7383689225219175,50.339,9,10,11.859601581275863,0.18134353738684894,1,0.4,4.696254320367745,0.6889,17.599823999999998,3.108852319452153,0.4,0.4,26.174150806758906,NA,19.96,1.835,290.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.6301369863013698
KRC,WRSH,2021-08-25,45.06485,-62.70628,4.99,5.0351,26.5,18.5,24.3,25.2,2.738,395.51154487780207,281.99132625625214,113.52021862154993,2,4.897512772620488,4.559725611638005,18.6398,0.4,1.198901598444674,1.037416429142195,2.5283,0.4,0.5521679029354237,0.7900419754355101,23.8442,5.106604211999217,1004.3780748298121,0.6587575425526518,0.6587265750523119,0.5131002721425154,63.3915183777672,0.6966609363244612,60.8159,9,10,10.601992945379044,0.23522826840882274,1,0.4,4.838371528662372,0.7134,16.799832,3.165624433400802,0.4,0.40645045465119223,25.35523258664983,NA,16.255000000000003,1.44,248,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.6493150684931507
KRC,WRSH,2021-09-14,45.06485,-62.70628,4.6,4.8775,18.9,16.9,NA,29.5,1.409,433.87064069862544,410.63772140759386,23.23291929103158,2,2.7067252820493315,5.551224664522931,15.3964,0.4,1.11671929358212,1.2474437833051468,2.767,0.4,0.611605996750029,0.7517265223601698,14.6432,4.9318398489274955,1010.4382202088962,0.9040094618960898,0.5663295993713711,0.520493388259578,67.00411820519317,0.7801645541532106,42.845,9,10,10,0.26106230136887953,1,0.4,2.597083732355926,0.5989,19.66647,3.2721765029802685,0.4,0.4084070440281626,9.0052818669375,1.15635,18.615000000000002,0.2155,222,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.7041095890410959
KRC,WRSH,2021-09-23,45.06485,-62.70628,5.1,4.9405,19,17.5,NA,27.9,2.727,382.19509842725614,324.09412522256645,58.100973204689694,2,3.8760908980857574,4.811568657070716,13.9036,0.4,1.18805442376563,1.0479027521900968,2.8462,0.4,0.5026649658547816,1.116528272054447,18.6849,5.006825068718209,828.6796363298157,0.9852509366810928,0.6622658776588066,0.495447589260668,60.93321576745022,0.7105027570061839,21.9301,9,10,10,0.2840168447855417,1,0.4,2.7023049086989075,0.7018,18.599814,2.5806756155282113,0.4,0.4,9.474172636936691,NA,17.015,0.1725,228,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7287671232876712
KRC,WRSH,2021-09-29,45.06485,-62.70628,4.8,5.1342,17.3,17,NA,28.4,2.344,372.6329077444124,297.07455089973394,75.55835684467849,2,2.6172408121375725,4.968718319079221,15.5486,0.4,1.10231117531349,1.0414739998785982,3.055,0.4,0.5312505569251775,0.8231458459210739,15.7246,4.852896679915443,915.1122070338936,0.572732383503198,0.6216451636538792,0.510059658853244,64.5180850741054,0.7697631431426849,110.8279,9,10,10,0.2931365414174552,1,0.4,2.6458276618933736,0.7129,18.933144,2.5786734577357375,0.4,0.4,6.96913636487367,1.3135,17.29,0.23099999999999998,249.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7452054794520548
KRC,WRSH,2021-10-06,45.06485,-62.70628,5.1,5.4883,14,16,NA,31,4.23,393.33676319400996,326.01370861119534,67.32305458281462,2,2.4599489677634225,5.294468984920399,13.9467,0.4,1.20815770485535,1.131628249329374,3.4623,0.4,0.5969236071023828,0.7,15.69,5.2501917639297115,913.9599960258392,0.5515718425465135,0.503650011507559,0.542355991963551,69.5048668970875,0.6300223141447653,82.3369,9,10,10,0.28687244392272176,1,0.4,2.662611646347035,0.8662,20.66646,3.0086677404758726,0.4,0.4,4.226156686392586,1.4585,17.945,0.8385,248.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7643835616438356
KRC,WRSH,2021-10-13,45.06485,-62.70628,4.63,5.0521,13.9,18.7,27.7,30.5,3.049,349.82653539307387,311.0987391636995,38.72779622937435,2,3.0174045373220157,4.967137184348425,12.9535,0.4,1.26369626155012,1.010999037284125,3.5563,0.4,0.512069269605465,0.7,18.6106,5.614770658434944,761.343092455026,0.46862516298675605,0.6498819564324635,0.597212504454661,63.661815918716975,0.6127884503721406,86.3771,9,10,10,0.26306941817545854,1,0.4,2.812110255759143,0.7925,20.33313,2.4580018904355834,0.4,0.4,4.458103568890508,1.089,16.525,0.7135,201.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7835616438356164
